Jakarta,-6.175540,106.82743,2000 - Present
London,51.514248,-0.09314520,2018 - Present
Florence,43.766667,11.25,June 2019
Budapest,47.5,19.083333,April 2019
Santorini,36.3932,25.4615,July 2019
Seoul,37.5985,126.9783,December 2019
Prague,50.0755,14.4378,March 2019
Bali,-8.3405,115.0920,May 2018
Paris,48.8566,2.3522,September 2018
Surabaya,-7.2575,112.7521,June 2020
Bandung,-6.9175,107.6191,June 2020
Edinburgh,55.9533,-3.1883,February 2020
